Unnamed: 0,Recurrent breakdown,Unnamed: 1,Unnamed: 2,Unnamed: 3,Development breakdown,Unnamed: 4
Baringo,"1,601,946,172 36,387,718","159,934,500","1,157,782","162,796,597","109,345,533 11,208,058","652,072,071"
Bomet,"580,224,711 137,432,841","225,000,000","931,700","142,000,000","60,000,000 118,759,149","200,000,000"
Bungoma,"1,953,635,172 245,248,614","382,728,771","3,041,097","363,199,807","53,759,825 40,400,000","85,871,795"
Busia,"1,067,348,500 147,932,854","176,994,743","1,917,060",-,"62,591,000 103,852,440","153,002,298"
Elgeyo Marakwet,"1,243,914,029 9,636,173","82,300,000",-,"20,023,544","193,747,084 28,991,926","274,338,919"
Embu,"1,520,722,662 200,416,255","164,651,756","10,882,753","7,739,415","212,116,550 101,638,166","210,000,000"
Garissa,"1,600,000,000 165,978,604","262,000,000","7,668,000","122,325,625","293,500,000 30,000,000","200,000,000"
Homa Bay,"1,440,160,805 79,070,457","298,000,000","9,703,000","8,500,000","287,385,996 154,170,000","237,087,822"
Isiolo,"685,110,586 70,158,500","78,660,000","1,250,000","12,091,614","90,000,000 42,191,748","78,038,082"
Kajiado,"1,438,404,477 343,359,533","97,499,633",-,"105,711,423","296,500,000 91,406,800",-
Kakamega,"2,535,479,652 160,963,621","199,277,908","4,152,459",-,"495,000,000 65,476,373","914,383,777"
Kericho,"1,521,922,656 118,321,350","330,475,203","13,820,000",-,"194,000,000 44,784,072","142,073,013"
Kiambu,"2,437,088,400 79,326,160","314,608,000","5,730,360",-,"426,968,000 124,719,600","1,370,295,389"
Kilifi,"2,154,779,543 159,405,248","601,383,186",-,"20,000,000","532,493,917 33,630,000","299,800,000"
Kirinyaga,"1,284,164,858 75,620,000","153,500,000","500,000",-,"541,818,973 46,636,630","124,744,398"
Kisii,"2,176,908,406 94,910,000","238,000,000",-,"176,331,537","145,295,000 61,000,000","783,513,515"
Kisumu,"2,159,558,989 300,649,393","301,400,000","10,300,000","43,136,800","220,258,561 102,023,313","8,500,000"
Kitui,"1,480,001,266 348,018,958","551,306,877","8,447,644",-,"185,492,462 349,117,851",-
Kwale,"1,324,077,003 165,259,092","147,967,289","800,000","60,000,000","372,520,208 117,378,348","822,265,480"
Laikipia,"1,375,650,406 18,600,000",-,"4,000,000","3,000,000","- 279,500,000","20,000,000"
Lamu,"713,526,372 103,340,000","76,000,000","8,090,000",-,"- 3,390,000","319,253,534"
Machakos,"2,792,181,364 351,186,000",-,-,"402,000,000",- -,"748,444,409"
Makueni,"2,032,207,198 263,560,000","231,849,693","65,000,000",-,"160,461,658 57,746,833","534,196,522"
Mandera,"1,008,309,515 253,733,019","210,952,927","6,039,936","162,488,503","558,514,000 128,792,000","74,050,000"
Marsabit,"1,091,836,286 60,520,000","28,716,214",-,-,- -,"790,250,000"
Meru,"2,307,527,313 53,969,575","56,500,000","890,000","331,340,010","32,810,000 1,237,500","362,000,000"
Migori,"1,028,461,393 185,493,278","306,903,384",-,-,"232,000,000 7,200,000","200,000,000"
Mombasa,"2,173,454,745 165,231,222","70,093,771","12,350,420","256,907,421","19,643,774 140,611,780","85,350,000"
Murang’a,"1,926,099,552 119,017,750","9,000,000","2,000,000","48,160,395","94,500,000 10,000,000","734,080,595"
Nairobi City,"4,783,604,149 435,198,920","1,032,945,833","49,897,900",-,"392,356,000 230,935,816",-
Nakuru,"3,558,063,051 743,653,562","598,119,015","8,550,000",-,"- 20,907,500","1,285,573,510"
Nandi,"1,153,189,355 122,650,000","217,000,000","4,000,000","78,211,250","160,500,000 106,500,000","97,000,000"
Narok,"1,241,437,045 427,707,862","338,650,799","4,358,372","101,538","222,513,894 27,152,625",-
Nyamira,"1,379,240,892 183,005,472","87,301,738",-,-,- -,"199,000,000"
Nyandarua,"942,228,091 165,485,717","13,900,000","1,890,478","415,733,422","114,100,000 3,950,000","10,400,000"
Nyeri,"1,977,124,839 56,381,115","210,424,000","1,800,000",-,"122,000,000 58,000,000","127,570,780"
Samburu,"577,153,509 274,629,869",-,-,"3,000,000",- -,"376,375,374"
Siaya,"733,420,166 728,943,392","176,012,000","4,000,000","5,000,000","56,050,270 46,156,911","465,000,000"
Taita/Taveta,"1,047,722,124 254,499,819","97,694,566","4,883,172",-,"92,515,000 17,140,508",-
Tana River,"508,991,286 148,939,924","229,754,612","4,630,000","78,760,232","107,800,000 -",-
Tharaka Nithi,"1,254,433,000 145,895,881","133,900,000","1,220,000","30,218,119","500,000 13,000,000","171,000,000"
Trans Nzoia,"1,125,834,898 193,588,890","100,000,000","4,600,000","64,888,877","538,322,334 57,318,642","112,000,000"
Turkana,"832,000,000 309,231,227","355,500,000","19,300,000","10,000,000","280,850,680 97,405,059","439,787,390"
Uasin Gishu,"1,545,971,699 35,630,000","204,656,011","3,000,000",-,"134,833,176 50,300,000","130,085,709"
Vihiga,"934,430,356 136,471,784","163,269,784","4,300,000",-,"312,792,818 36,800,000","46,880,102"
Wajir,"1,210,168,371 235,591,939","133,550,000","22,632,000","143,464,997","140,510,000 47,890,000","4,800,000"
West Pokot,"813,330,206 98,519,929","320,495,770",-,"50,378,964","115,356,907 33,300,000","100,000,000"
Total,"72,273,045,067 9,208,771,516","10,168,877,983","317,734,133","3,327,510,089","8,661,723,620 3,142,619,649","13,989,084,484"
