County,Total_Budget,Health_Total,Health_Recurrent,Health_Development
Baringo,"8,029,370,014","2,734,848,431","1,962,222,769","772,625,662"
Bomet,"7,116,909,002","1,464,348,401","1,085,589,252","378,759,149"
Bungoma,"11,213,060,757","3,127,885,081","2,947,853,461","180,031,620"
Busia,"7,026,121,806","1,713,638,895","1,394,193,157","319,445,738"
Elgeyo Marakwet,"5,020,012,841","1,852,951,675","1,355,873,746","497,077,929"
Embu,"7,107,296,920","2,428,167,557","1,904,412,841","523,754,716"
Garissa,"10,162,735,255","2,681,472,229","2,157,972,229","523,500,000"
Homa Bay,"7,732,086,904","2,514,078,080","1,835,434,262","678,643,818"
Isiolo,"4,727,633,637","1,057,500,530","847,270,700","210,229,830"
Kajiado,"9,514,040,462","2,372,881,866","1,984,975,066","387,906,800"
Kakamega,"14,507,750,502","4,374,733,790","2,899,873,640","1,474,860,150"
Kericho,"7,184,116,063","2,365,396,294","1,984,539,209","380,857,085"
Kiambu,"13,101,258,545","4,758,735,909","2,836,752,920","1,921,982,989"
Kilifi,"13,807,774,484","3,801,491,894","2,935,567,977","865,923,917"
Kirinyaga,"8,634,442,271","2,226,984,858","1,513,784,858","713,200,000"
Kisii,"11,327,000,000","3,675,958,458","2,686,149,943","989,808,515"
Kisumu,"9,217,889,213","3,145,827,056","2,815,045,182","330,781,874"
Kitui,"11,775,231,412","2,922,385,058","2,387,774,745","534,610,313"
Kwale,"12,232,755,516","3,010,267,420","1,698,103,384","1,312,164,036"
Laikipia,"4,663,400,000","1,700,750,406","1,401,250,406","299,500,000"
Lamu,"4,502,378,109","1,223,599,906","900,956,372","322,643,534"
Machakos,"12,231,106,619","4,293,811,773","3,545,367,364","748,444,409"
Makueni,"10,400,508,264","3,345,021,905","2,592,616,891","752,405,013"
Mandera,"13,378,745,394","2,402,879,900","1,641,523,900","761,356,000"
Marsabit,"7,820,538,914","1,971,322,500","1,181,072,500","790,250,000"
Meru,"10,260,317,505","3,146,274,398","2,750,226,898","396,047,500"
Migori,"8,540,007,356","1,960,058,055","1,520,858,055","439,200,000"
Mombasa,"13,591,771,891","2,923,643,133","2,678,037,579","245,605,554"
Murang’a,"8,810,779,834","2,942,858,292","2,104,277,697","838,580,595"
Nairobi City,"32,310,240,815","6,924,938,618","6,301,646,802","623,291,816"
Nakuru,"18,315,751,744","6,214,866,638","4,908,385,628","1,306,481,010"
Nandi,"8,046,964,890","1,939,050,605","1,575,050,605","364,000,000"
Narok,"9,472,053,231","2,261,922,134","2,012,255,615","249,666,519"
Nyamira,"6,526,425,651","1,848,548,102","1,649,548,102","199,000,000"
Nyandarua,"7,346,070,488","1,667,687,708","1,539,237,708","128,450,000"
Nyeri,"7,672,055,820","2,553,300,734","2,245,729,954","307,570,780"
Samburu,"5,493,647,720","1,231,158,752","854,783,378","376,375,374"
Siaya,"7,129,591,194","2,214,582,739","1,647,375,558","567,207,181"
Taita/Taveta,"5,252,863,879","1,514,455,189","1,404,799,680","109,655,508"
Tana River,"5,693,857,764","1,078,876,054","971,076,054","107,800,000"
Tharaka Nithi,"4,844,778,431","1,750,167,000","1,565,667,000","184,500,000"
Trans Nzoia,"7,651,764,487","2,196,553,641","1,488,912,665","707,640,976"
Turkana,"13,535,455,447","2,344,074,357","1,526,031,227","818,043,130"
Uasin Gishu,"9,007,239,941","2,104,476,595","1,789,257,710","315,218,885"
Vihiga,"6,440,640,905","1,634,944,844","1,238,471,924","396,472,920"
Wajir,"10,556,115,190","1,938,607,307","1,745,407,307","193,200,000"
West Pokot,"5,645,490,960","1,531,381,775","1,282,724,868","248,656,907"
Total,"444,578,048,046","121,089,366,541","95,295,938,788","25,793,427,753"
